,,WorldUniversity,,,,,,,Shanghai,,,,,,,Times,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country,University,world_rank,quality_of_education,alumni_employment,quality_of_faculty,publications,influence,,world_rank,alumni,award,hici,ns,pub,,world_rank,teaching,international,research,income,student_staff_ratio,,,,,,,,,,,,,,,,,,,,,,,,
USA,University of Cincinnati,157,188,86,218,150,171,,201-300,0,0,22.6,9.2,37.9,,276-300,32,26,22.4,35.6,15.7,,,,,,,,,,,,,,,,,,,,,,,,
Germany,University of Bonn,158,58,249,65,153,107,,97,15.4,19.8,17.4,21.1,39.8,,195,32.2,54.8,22.2,-,70.4,,,,,,,,,,,,,,,,,,,,,,,,
USA,Wake Forest University,159,265,83,218,249,244,,401-500,0,0,14.9,7.5,25,,201-225,33.3,26,23.5,38.2,4.6,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,University of Basel,160,83,363,60,167,100,,87,19.2,16.3,17.4,21.4,39.2,,75,41.2,91.2,41.1,97.7,17.3,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,University of Leeds,161,62,157,218,133,141,,101-150,17,0,18.4,18.4,42.5,,146,39.4,67.6,39.1,39.4,14.7,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Université libre de Bruxelles,163,173,110,69,236,214,,101-150,19.9,26.6,11.3,11.8,32.7,,201-225,26.7,79.4,36.2,50.7,26.1,,,,,,,,,,,,,,,,,,,,,,,,
South Korea,Pohang University of Science and Technology,165,367,567,218,285,355,,301-400,0,0,7.1,9.1,29.9,,66,52.7,36,49.3,100,10.1,,,,,,,,,,,,,,,,,,,,,,,,
Canada,University of Calgary,167,367,123,218,145,180,,201-300,0,0,13.8,13.6,44.6,,226-250,34.4,63.1,30.5,41.5,16.5,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,Stockholm University,168,129,79,187,202,89,,77,24.1,27.4,18.1,19.4,40.4,,98,30.1,53.2,45,32.4,23.7,,,,,,,,,,,,,,,,,,,,,,,,
Italy,University of Padua,169,281,567,218,99,105,,151-200,0,0,11.3,16.1,48.2,,301-350,20.7,40.4,18.2,32.9,18.3,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,University of Hong Kong,170,287,128,218,139,204,,151-200,0,0,17.5,14.2,43.9,,43,62.1,81.9,72.6,56,17.6,,,,,,,,,,,,,,,,,,,,,,,,
USA,Yeshiva University,171,200,567,218,195,91,,201-300,0,0,6.3,21.7,31.5,,186,45.2,27.6,23.9,-,5.5,,,,,,,,,,,,,,,,,,,,,,,,
