quality_of_education,alumni_employment,quality_of_faculty,publications,influence,teaching,international,research,income,student_staff_ratio,Ranking_Bin
189,239,218,263,148,27.8,36.7,21.1,32,16.8,6
367,455,66,143,85,35.7,29.5,37.5,32.6,29.9,4
64,43,73,121,67,55.5,37,54.2,32.7,10.1,3
68,210,43,58,47,36.5,44.8,39.1,33.2,8.4,2
12,18,14,24,15,71.6,59,83.8,33.7,10.2,1
175,567,100,243,49,30.6,54.6,31.9,33.8,22.7,4
316,125,218,370,312,36.4,54.7,21.9,34,15.1,7
152,62,39,57,64,55.2,42.7,44.6,34.4,12.9,2
353,567,218,713,315,29.1,20.7,13.7,34.4,15.2,8
367,150,218,383,240,32.6,30,15.7,34.5,17.5,9
52,161,95,255,150,41.7,70.8,37.1,34.6,9,4
367,233,218,362,338,31.8,42.2,14.3,34.6,10.8,8
165,207,218,278,262,31,47.8,24.4,35,16.4,7
367,567,218,832,515,40.5,34.3,45.3,35.2,17.3,3
188,86,218,150,171,32,26,22.4,35.6,15.7,7
228,91,218,212,161,30.6,32.2,20.1,36.2,17.5,7
72,53,113,114,118,41.9,55.5,29.2,36.4,4.5,5
11,14,8,17,16,83.9,65.2,89.9,36.8,6.9,1
265,83,218,249,244,33.3,26,23.5,38.2,4.6,9
367,435,153,448,213,35.1,59.4,30.7,38.3,17.5,6
79,169,218,25,57,45.2,32.2,46.3,38.5,5.8,3
211,493,148,244,203,27.6,30.4,31.3,38.8,19,7
130,229,218,373,320,27,41.5,16.5,39.2,15.1,9
247,567,218,209,113,29.4,61.6,27.5,39.5,22,5
367,398,218,203,298,40.1,57,39.8,39.6,19,7
227,567,44,78,51,39.5,56.1,41.7,40,16.1,2
124,69,86,32,32,57.9,35.3,58.6,40.5,7.3,2
367,541,218,126,196,43,53.4,34.1,40.7,9.2,6
367,159,218,250,151,26,55.4,28.2,41.6,22.8,8
10,26,11,18,8,88.5,59.8,90.8,42,4.4,1
367,146,116,67,60,49,42.9,32.4,42.3,4.5,5
283,152,218,201,264,40.1,28.9,40,42.6,18.6,7
20,4,28,8,18,79,43.8,82,43,6.5,1
367,42,218,310,257,39.3,33.1,25.8,43.2,43.7,7
51,342,78,549,195,25.8,54.7,29.1,43.9,12.6,7
1,1,1,1,1,92.9,67.6,98.6,44,8.9,1
367,567,218,223,170,29.6,32.2,23.4,44.5,17.5,7
48,103,41,9,10,64.5,47.9,68.9,44.7,11.8,1
5,21,6,10,4,84.2,58.5,96.7,44.8,16.4,1
367,97,218,557,363,32.4,54.6,29.1,46.5,17.4,9
96,87,82,28,52,54,51.5,51.1,46.8,13.4,3
40,19,218,246,167,38.3,33.1,35.4,49.1,6.6,7
233,296,167,103,83,41.9,31.7,33.5,49.3,11.6,6
367,567,218,672,440,46.2,49.1,51.9,49.6,21.4,4
209,20,126,94,74,48.7,31.8,35.9,49.8,10.2,5
137,142,218,402,346,30.9,42.8,26.2,49.9,15,8
33,75,21,40,48,67.7,43.9,79,51.7,18.7,2
212,141,159,198,191,44.8,40.3,49.1,52.8,13,5
25,160,23,211,225,61.6,59.3,74.9,53,13.1,3
29,29,34,21,24,67.7,33.6,71.3,53.3,10.8,1
36,567,19,16,5,52,37,66.6,54.2,6.5,1
286,186,109,151,178,36.4,40.6,30.9,54.4,17.4,6
367,301,131,334,234,28.5,36,27.5,54.5,18.3,8
54,227,59,29,33,54.4,52.9,59.7,55.4,13.9,3
24,17,140,3,20,77,49.8,86.5,55.7,9,1
75,36,25,48,50,64.3,33.1,72,58.1,17.4,2
97,105,67,97,65,38.8,27.5,36.5,58.1,16.9,4
60,48,182,166,160,43.6,51.1,33.9,58.7,10,5
87,94,110,55,62,46,28.3,38.2,59.4,3.6,3
230,44,62,49,43,54.6,37.4,64.8,60.4,12.4,3
9,2,4,5,3,91.5,69,96.7,63.1,7.8,1
135,60,218,107,152,62.5,68.9,71.2,72.3,20.1,5
163,12,104,27,34,72.7,36.7,78.9,77,13.8,2
159,34,218,298,321,51.1,43.3,28.2,80,8.5,8
4,15,3,72,25,86.6,61.2,94.7,82.7,8.4,1
133,280,29,111,59,49.4,64.3,61.4,87.1,27.3,2
6,328,7,53,9,92.2,67,98.1,89.1,6.9,1
3,11,2,15,2,89.1,84.3,88.2,95.7,9,1
341,467,218,794,769,39.6,58.7,23.2,99,5.6,9
318,337,135,272,304,29,40.6,36.3,99.3,15.9,6
139,55,87,74,39,44.9,38.8,51.4,99.6,12.7,4
367,418,218,233,251,27.7,41,37.9,99.8,21.5,7
18,84,16,4,11,75.6,59.7,84.2,100,3.6,1
74,31,56,19,23,73.5,50.5,75.2,100,4.8,2
13,6,9,13,13,83.9,68.3,79.4,49.3,5.9,1
28,27,13,6,14,82.4,49.2,90.5,49.3,10.3,1
63,130,63,23,40,59.9,33.8,64.7,49.3,18,2
101,96,71,41,21,57.6,46.5,55.2,49.3,5.7,2
80,67,31,96,38,35,39.1,38.3,49.3,16.1,2
55,33,47,75,95,47.8,64.3,50.5,49.3,18.1,3
214,276,96,37,73,49.8,32.2,52.1,49.3,18.7,4
50,215,195,137,106,46.5,34.4,37.4,49.3,6.4,5
134,35,178,180,143,46.5,37.1,35.1,49.3,13.6,5
367,241,218,159,130,42.7,56.7,27.2,49.3,5.7,6
221,24,155,242,242,43.3,51.4,38.5,49.3,13.8,7
200,567,218,195,91,45.2,27.6,23.9,49.3,5.5,7
367,183,218,189,258,32,30.7,15.2,49.3,10.7,8
324,144,218,365,299,40.7,29.7,20.7,49.3,8.4,8
198,256,218,357,288,26.8,21,19.4,49.3,17.5,8
367,567,218,774,632,25.7,39.6,35,49.3,18.5,9
